company_id,detailsId,period,status,message
10507944,,2024,SKIP,parse_company_year_json returned None
10395401,,2022,SKIP,parse_company_year_json returned None
10395401,,2023,SKIP,parse_company_year_json returned None
10395401,,2024,OK,
8954907,,2022,OK,
8954907,,2023,OK,
8954907,,2024,OK,
242380,,2022,OK,
242380,,2023,OK,
242380,,2024,OK,
11616699,,2022,OK,
11616699,,2023,OK,
11616699,,2024,OK,
7678344,,2022,OK,
7678344,,2023,OK,
7678344,,2024,OK,
10518619,,2022,OK,
10518619,,2023,OK,
10518619,,2024,OK,
8382048,,2022,OK,
8382048,,2023,OK,
8382048,,2024,OK,
11777457,,2022,OK,
11777457,,2023,OK,
11777457,,2024,OK,
11143244,,2022,OK,
11143244,,2023,OK,
11143244,,2024,OK,
10930792,,2022,SKIP,parse_company_year_json returned None
10930792,,2023,SKIP,parse_company_year_json returned None
10930792,,2024,SKIP,parse_company_year_json returned None
7385022,,2022,OK,
7385022,,2023,OK,
7385022,,2024,OK,
9023043,,2022,OK,
9023043,,2023,SKIP,parse_company_year_json returned None
9023043,,2024,OK,
10852811,,2022,OK,
10852811,,2023,OK,
10852811,,2024,OK,
10005462,,2022,OK,
10005462,,2023,OK,
10005462,,2024,SKIP,parse_company_year_json returned None
7757912,,2022,SKIP,parse_company_year_json returned None
7757912,,2023,SKIP,parse_company_year_json returned None
7757912,,2024,SKIP,parse_company_year_json returned None
8468112,,2022,OK,
8468112,,2023,OK,
8468112,,2024,OK,
10832470,,2022,OK,
10832470,,2023,OK,
10832470,,2024,OK,
9145615,,2022,OK,
9145615,,2023,OK,
9145615,,2024,OK,
5388937,,2022,OK,
5388937,,2023,OK,
5388937,,2024,OK,
4152013,,2022,OK,
4152013,,2023,OK,
4152013,,2024,OK,
5151711,,2022,OK,
5151711,,2023,OK,
5151711,,2024,OK,
11320895,,2022,OK,
11320895,,2023,OK,
11320895,,2024,OK,
11197335,,2022,OK,
11197335,,2023,OK,
11197335,,2024,OK,
1215798,,2022,SKIP,parse_company_year_json returned None
1215798,,2023,SKIP,parse_company_year_json returned None
1215798,,2024,SKIP,parse_company_year_json returned None
11953073,,2022,SKIP,parse_company_year_json returned None
11953073,,2023,SKIP,parse_company_year_json returned None
11953073,,2024,SKIP,parse_company_year_json returned None
11851073,,2022,SKIP,parse_company_year_json returned None
11851073,,2023,OK,
11851073,,2024,OK,
3143975,,2022,SKIP,parse_company_year_json returned None
3143975,,2023,SKIP,parse_company_year_json returned None
3143975,,2024,SKIP,parse_company_year_json returned None
7980248,,2022,OK,
7980248,,2023,OK,
7980248,,2024,OK,
232308,,2022,SKIP,parse_company_year_json returned None
232308,,2023,SKIP,parse_company_year_json returned None
232308,,2024,SKIP,parse_company_year_json returned None
11880788,,2022,OK,
11880788,,2023,OK,
11880788,,2024,OK,
11218407,,2022,OK,
11218407,,2023,OK,
11218407,,2024,OK,
2497191,,2022,OK,
2497191,,2023,OK,
2497191,,2024,OK,
1988786,,2022,OK,
1988786,,2023,OK,
1988786,,2024,OK,
8428421,,2022,OK,
8428421,,2023,OK,
8428421,,2024,OK,
1080319,,2022,OK,
1080319,,2023,OK,
1080319,,2024,SKIP,parse_company_year_json returned None
9393208,,2022,OK,
9393208,,2023,OK,
9393208,,2024,OK,
7530502,,2022,OK,
7530502,,2023,OK,
7530502,,2024,OK,
9128766,,2022,OK,
9128766,,2023,OK,
9128766,,2024,OK,
761693,,2022,OK,
761693,,2023,OK,
761693,,2024,OK,
9148257,,2022,OK,
9148257,,2023,OK,
9148257,,2024,OK,
10213029,,2022,OK,
10213029,,2023,OK,
10213029,,2024,OK,
9464926,,2022,OK,
9464926,,2023,OK,
