level,key,period,n_companies,median_margin,mad_margin,median_debt_ratio,mad_debt_ratio,median_inv_turnover,mad_inv_turnover,median_growth,mad_growth
okved2,93,2023,67,0.0595849763014298,0.0760634627219363,0.0,0.5063184924577786,40.093023255813954,38.31225402504472,0.21945552449384775,0.3196350205020725
okved2,95,2023,13,0.0548872180451127,0.0517733728260044,,,,,0.0628991060025542,0.3264649974754224
section,A,2023,98,0.03243808986818065,0.14605226628913814,0.33521159639858805,0.33521159639858805,1.9656483670991245,1.3186666415149424,0.1148074359441225,0.3493958756226875
section,C,2023,298,0.0375671420946389,0.04096008103081935,0.1613168724279835,0.293304450067735,6.287589452609124,4.8392882631799665,0.2030768058896713,0.3965455713128559
section,F,2023,567,0.028629156535735,0.0353583580955564,0.11695119110563401,0.11695119110563401,8.569432474706996,7.508543595898303,0.1849042029325351,0.46199219233738564
section,G,2023,782,0.027829713148507747,0.02740214651567655,0.1283714289171496,0.2010445254988048,7.038393645189761,5.480388217781349,0.0630669923237962,0.2628995348858949
section,H,2023,309,0.0309343434343434,0.040033398501140405,0.1191274695915067,0.2267659657926558,31.666666666666668,28.479166666666668,0.1704259764172656,0.3432799749499141
section,I,2023,169,0.036309937456567,0.0496839005512004,0.0022236340533672,0.2077684379778916,15.536038044285927,12.032135182187055,0.1396001728621437,0.22367573571902316
section,J,2023,189,0.0599022004889975,0.0917107027368089,0.0032467532467532,0.1166765787051738,29.347195357833655,27.184459479368073,0.14146807423169905,0.2740864684460558
section,L,2023,243,0.0681044267877412,0.135156854971834,0.036718975535734055,0.40348745494061145,48.54833333333333,47.120129524789846,0.04916645796130045,0.12146159900689214
section,M,2023,666,0.05624483580603275,0.08521392030968133,0.0013403702772891,0.1098807110044132,15.231323357888275,14.108699292767,0.1205218337135883,0.3449902774246425
section,N,2023,54,0.058191446161901444,0.0523920822102074,0.0,0.2577367205542725,35.278377515170874,31.504999589377086,0.07550422150312065,0.2238746420105478
section,Q,2023,272,0.05969124100198185,0.0660025691857385,0.0,0.1937643121366919,14.938710962933028,10.630352669366847,0.13077194817508708,0.173250800037678
section,R,2023,67,0.0595849763014298,0.0760634627219363,0.0,0.5063184924577786,40.093023255813954,38.31225402504472,0.21945552449384775,0.3196350205020725
section,S,2023,21,0.0418174507438681,0.038750930850803195,0.1884013138141553,0.2676295666949873,5.711734507649667,4.5348249850250255,0.0703402854006586,0.3339061768735268
period,ALL,2023,3768,0.0391949196284489,0.0499087171142683,0.0662251655629139,0.20031329453372837,10.220671834625325,8.85678178299982,0.1178928822144833,0.3014189710781707
okved2,1,2024,89,0.0521428571428571,0.1289111198505555,0.3362171616816918,0.3362171616816918,1.4677490503614754,0.8991318526980313,0.0151498637602179,0.33754020081650765
okved2,10,2024,16,0.060894746841165956,0.0750319547726297,0.0,0.6280768957934312,10.023974990982325,5.895674969240428,0.2389131539686463,0.4189292037265125
okved2,25,2024,182,0.0319401822990371,0.03416980342952735,0.2223654415607037,0.2223654415607037,7.764977411117659,5.664137074983206,0.19230745713039904,0.40291553969191324
okved2,28,2024,13,0.0153873432163864,0.08082119812392549,0.00859799243047555,0.35834001079082356,7.366321911352966,3.1874786125943815,0.08100924303418805,0.20683570312397206
okved2,33,2024,15,0.0646869370598831,0.053424965854108206,,,8.16165431701031,4.048534466810182,0.0619032953495534,0.2876843402432262
okved2,41,2024,188,0.0295462855450657,0.031974778158921247,0.1528159439752283,0.17219216321436048,7.478260869565218,6.653076927709584,0.1022181146025878,0.49381130634044834
okved2,42,2024,172,0.0291051202454859,0.03132416768012365,0.2007166353383458,0.2007166353383458,17.434688268479675,14.399040556677392,0.1091993301189022,0.4047187756641998
okved2,43,2024,210,0.042031781040967345,0.0515724356657313,0.0386158475426278,0.058065938086400606,9.48878923766816,7.761953500887122,0.0189354092152324,0.4154583826987077
okved2,45,2024,171,0.0323949075446239,0.0280289530780712,0.1329379282135187,0.2843157837188537,4.923343038191471,3.7908736882198983,0.0825452093908629,0.2824333056280988
okved2,46,2024,357,0.020868500890428,0.026975164877766,0.1150012777919754,0.1732408102819312,7.8125,6.418978689629483,0.0824447102702051,0.34681097731837
okved2,47,2024,228,0.0358596478145644,0.04104817590489865,0.0492825776613073,0.12465727866627119,6.213975704088178,4.563645355607649,0.0616485544011767,0.19181045480956685
okved2,49,2024,179,0.023384892326155,0.0279664439449699,0.1977139326536917,0.325768312478038,26.24677348265223,23.6146070696639,0.16337874656784568,0.2840270814041367
okved2,52,2024,117,0.0250493096646942,0.04878620993313779,0.023789786342925202,0.20370538771581115,24.4100592110402,22.48369409331419,0.0713626069174784,0.23843924646909578
okved2,56,2024,160,0.0428239678660195,0.04402453879457985,0.0,0.29454012332962515,16.025782688766114,12.414208131936082,0.1567940179927561,0.22178094140276677
